iter	Passed	Remaining
602	8584	5651
603	8597	5637
604	8613	5623
605	8628	5609
606	8645	5597
607	8660	5583
608	8676	5570
609	8691	5556
610	8706	5542
611	8720	5528
612	8735	5514
613	8750	5501
614	8765	5487
615	8781	5473
616	8795	5459
617	8808	5444
618	8823	5430
619	8837	5416
620	8852	5402
621	8867	5388
622	8882	5375
623	8896	5360
624	8913	5348
625	8928	5334
626	8945	5321
627	8959	5307
628	8974	5293
629	8986	5277
630	9000	5263
631	9014	5248
632	9027	5233
633	9041	5219
634	9054	5204
635	9069	5190
636	9084	5176
637	9097	5161
638	9111	5147
639	9126	5133
640	9140	5119
641	9152	5103
642	9166	5089
643	9180	5074
644	9195	5061
645	9209	5046
646	9223	5032
647	9239	5018
648	9253	5004
649	9266	4989
650	9279	4974
651	9293	4960
652	9307	4946
653	9321	4931
654	9335	4916
655	9349	4902
656	9362	4887
657	9375	4872
658	9389	4858
659	9409	4847
660	9422	4832
661	9436	4818
662	9451	4804
663	9464	4789
664	9479	4775
665	9492	4760
666	9506	4746
667	9519	4731
668	9532	4716
669	9546	4701
670	9576	4695
671	9588	4680
672	9601	4665
673	9616	4651
674	9630	4636
675	9643	4622
676	9657	4607
677	9672	4593
678	9685	4578
679	9699	4564
680	9712	4549
681	9725	4534
682	9738	4519
683	9752	4505
684	9764	4490
685	9777	4475
686	9791	4460
687	9803	4445
688	9816	4431
689	9831	4416
690	9844	4402
691	9857	4387
692	9870	4372
693	9885	4358
694	9899	4344
695	9941	4342
696	9986	4341
697	10002	4327
698	10017	4313
699	10031	4299
700	10045	4284
701	10060	4270
702	10078	4257
703	10093	4243
704	10109	4230
705	10126	4217
706	10144	4204
707	10160	4190
708	10174	4175
709	10189	4161
710	10202	4147
711	10219	4133
712	10235	4119
713	10254	4107
714	10273	4094
715	10289	4081
716	10305	4067
717	10320	4053
718	10336	4039
719	10351	4025
720	10366	4011
721	10381	3997
722	10395	3982
723	10411	3969
724	10425	3954
725	10442	3941
726	10459	3927
727	10475	3913
728	10492	3900
729	10507	3886
730	10521	3871
731	10538	3858
732	10553	3844
733	10567	3829
734	10582	3815
735	10597	3801
736	10611	3786
737	10622	3771
738	10635	3756
739	10648	3741
740	10663	3727
741	10678	3712
742	10690	3697
743	10703	3682
744	10716	3668
745	10729	3653
746	10744	3638
747	10757	3624
748	10772	3610
749	10786	3595
750	10801	3581
751	10814	3566
752	10829	3552
753	10842	3537
754	10855	3522
755	10868	3507
756	10881	3492
757	10893	3478
758	10906	3463
759	10919	3448
760	10933	3433
761	10950	3420
762	10963	3405
763	10976	3390
764	10988	3375
765	11002	3360
766	11014	3345
767	11028	3331
768	11041	3316
769	11056	3302
770	11070	3287
771	11084	3273
772	11099	3259
773	11111	3244
774	11123	3229
775	11136	3214
776	11150	3200
777	11163	3185
778	11179	3171
779	11192	3156
780	11208	3143
781	11222	3128
782	11236	3114
783	11248	3099
784	11263	3084
785	11276	3070
786	11289	3055
787	11303	3040
788	11316	3026
789	11330	3011
790	11345	2997
791	11358	2983
792	11372	2968
793	11385	2953
794	11397	2939
795	11408	2923
796	11420	2908
797	11432	2893
798	11443	2878
799	11455	2863
800	11471	2849
801	11483	2835
802	11495	2820
803	11507	2805
804	11519	2790
805	11530	2775
806	11542	2760
807	11554	2745
808	11566	2730
809	11577	2715
810	11592	2701
811	11609	2687
812	11625	2674
813	11640	2659
814	11656	2645
815	11670	2631
816	11685	2617
817	11699	2603
818	11715	2589
819	11728	2574
820	11758	2563
821	11772	2549
822	11788	2535
823	11801	2520
824	11817	2506
825	11831	2492
826	11846	2478
827	11858	2463
828	11872	2448
829	11886	2434
830	11901	2420
831	11916	2406
832	11931	2392
833	11946	2377
834	11960	2363
835	11983	2350
836	11997	2336
837	12011	2322
838	12025	2307
839	12041	2293
840	12056	2279
841	12072	2265
842	12086	2251
843	12102	2236
844	12115	2222
845	12132	2208
846	12147	2194
847	12162	2180
848	12176	2165
849	12190	2151
850	12205	2137
851	12223	2123
852	12237	2108
853	12251	2094
854	12263	2079
855	12277	2065
856	12291	2050
857	12304	2036
858	12319	2022
859	12332	2007
860	12347	1993
861	12362	1979
862	12375	1964
863	12389	1950
864	12401	1935
865	12415	1921
866	12430	1906
867	12444	1892
868	12458	1878
869	12471	1863
870	12486	1849
871	12499	1834
872	12513	1820
873	12580	1813
874	12592	1798
875	12602	1783
876	12614	1769
877	12625	1754
878	12650	1741
879	12661	1726
880	12674	1711
881	12687	1697
882	12701	1682
883	12715	1668
884	12728	1654
885	12751	1640
886	12763	1626
887	12776	1611
888	12788	1596
889	12801	1582
890	12813	1567
891	12825	1552
892	12838	1538
893	12849	1523
894	12860	1508
895	12871	1494
896	12884	1479
897	12895	1464
898	12907	1450
899	12920	1435
900	12931	1420
901	12944	1406
902	12955	1391
903	12967	1377
904	12980	1362
905	12992	1348
906	13005	1333
907	13033	1320
908	13045	1305
909	13057	1291
910	13071	1276
911	13086	1262
912	13100	1248
913	13113	1233
914	13125	1219
915	13141	1205
916	13153	1190
917	13165	1176
918	13178	1161
919	13190	1147
920	13203	1132
921	13221	1118
922	13236	1104
923	13250	1089
924	13267	1075
925	13283	1061
926	13299	1047
927	13316	1033
928	13341	1019
929	13356	1005
930	13372	991
931	13388	976
932	13404	962
933	13419	948
934	13436	934
935	13451	919
936	13467	905
937	13480	891
938	13496	876
939	13513	862
940	13529	848
941	13543	833
942	13559	819
943	13576	805
944	13590	790
945	13605	776
946	13622	762
947	13636	748
948	13651	733
949	13667	719
950	13682	704
951	13700	690
952	13716	676
953	13731	662
954	13750	647
955	13765	633
956	13780	619
957	13794	604
958	13814	590
959	13829	576
960	13842	561
961	13871	547
962	13886	533
963	13900	519
964	13915	504
965	13929	490
966	13943	475
967	13956	461
968	13970	446
969	13983	432
970	13997	418
971	14010	403
972	14023	389
973	14037	374
974	14050	360
975	14064	345
976	14076	331
977	14090	316
978	14103	302
979	14117	288
980	14131	273
981	14144	259
982	14157	244
983	14171	230
984	14185	216
985	14200	201
986	14215	187
987	14228	172
988	14241	158
989	14257	144
990	14271	129
991	14285	115
992	14299	100
993	14313	86
994	14324	71
995	14337	57
996	14350	43
997	14363	28
998	14375	14
999	14387	0
